Delete,Delete
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Enable reviewpagebuilder module to activate PageBuilder and Advanced Reviews integration. Please, run the following command in the SSH: composer require amasty/advanced-reviews-page-builder","Enable reviewpagebuilder module to activate PageBuilder and Advanced Reviews integration. Please, run the following command in the SSH: composer require amasty/advanced-reviews-page-builder"
"Enable advanced-review-graphql module to activate GraphQl and Advanced Review. Please, run the following command in the SSH: composer require amasty/advanced-review-graphql","Enable advanced-review-graphql module to activate GraphQl and Advanced Review. Please, run the following command in the SSH: composer require amasty/advanced-review-graphql"
"%1 year(s) ago","%1 year(s) ago"
"%1 month(s) ago","%1 month(s) ago"
"%1 day(s) ago","%1 day(s) ago"
"%1 hour(s) ago","%1 hour(s) ago"
"%1 minute(s) ago","%1 minute(s) ago"
"%1 second(s) ago","%1 second(s) ago"
recently,recently
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"Something went wrong","Something went wrong"
"You deleted the comment.","You deleted the comment."
"We can't find a comment to delete.","We can't find a comment to delete."
"Edit Comment #%1 by %2","Edit Comment #%1 by %2"
"This comment no longer exists.","This comment no longer exists."
Comments,Comments
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"Comment has been saved.","Comment has been saved."
"The wrong item is specified.","The wrong item is specified."
"Review Reminder","Review Reminder"
Reminder,Reminder
"A total of %1 email(s) have been sent.","A total of %1 email(s) have been sent."
"No records have been sent.","No records have been sent."
"Please fill test email in module configuration","Please fill test email in module configuration"
"A total of %1 email(s) have been sent to %2.","A total of %1 email(s) have been sent to %2."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been approved for All store views.","A total of %1 record(s) have been approved for All store views."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"Sorry. There is a problem with your Comment Request.","Sorry. There is a problem with your Comment Request."
"You submitted your review for moderation.","You submitted your review for moderation."
Forbidden,Forbidden
"Form key is not valid. Please try to reload the page.","Form key is not valid. Please try to reload the page."
"Your session was expired. Please refresh this page and try again.","Your session was expired. Please refresh this page and try again."
"%1 is a required field.","%1 is a required field."
"Sorry. There is a problem with your Vote Request.","Sorry. There is a problem with your Vote Request."
Success.,Success.
"You have been unsubscribed from comment messages.","You have been unsubscribed from comment messages."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"You unsubscribed.","You unsubscribed."
"Verified Buyer","Verified Buyer"
"I recommend this product","I recommend this product"
"Show more","Show more"
"with %1 stars | ","with %1 stars | "
"Show All","Show All"
"Advanced Product Reviews Coupon for %1","Advanced Product Reviews Coupon for %1"
"It will take only a few minutes, just click the 'Leave a review' button below.<br>To make the process more pleasant we are happy to grant you a discount coupon code, which can already be used for your next purchase. Here it is: %1 (%2).","It will take only a few minutes, just click the 'Leave a review' button below.<br>To make the process more pleasant we are happy to grant you a discount coupon code, which can already be used for your next purchase. Here it is: %1 (%2)."
"It will take only a few minutes, just click the 'Leave a review' button below.","It will take only a few minutes, just click the 'Leave a review' button below."
"It will take only a few minutes, just click the 'Leave a review' button below. And please kindly keep in mind, that you will receive a discount coupon after your review is approved.","It will take only a few minutes, just click the 'Leave a review' button below. And please kindly keep in mind, that you will receive a discount coupon after your review is approved."
"please kindly keep in mind that it will expire in %1 days","please kindly keep in mind that it will expire in %1 days"
"please keep in mind that it expires today","please keep in mind that it expires today"
"\r\nError when deleting rule #%s : %s","\r\nError when deleting rule #%s : %s"
"Advanced Product Reviews Coupon for %","Advanced Product Reviews Coupon for %"
"We can`t find reminder data to send email","We can`t find reminder data to send email"
"Waiting for Sending","Waiting for Sending"
"Sent Successfully","Sent Successfully"
"Sending Failed","Sending Failed"
Canceled,Canceled
"Email was not sent. Customer was unsubscribed.","Email was not sent. Customer was unsubscribed."
"Email was not sent. Customer belongs to Customer Group disabled in Review Reminder settings.","Email was not sent. Customer belongs to Customer Group disabled in Review Reminder settings."
Recent,Recent
Random,Random
"Unable to save comment with ID %1. Error: %2","Unable to save comment with ID %1. Error: %2"
"Unable to save new comment. Error: %1","Unable to save new comment. Error: %1"
"Comment with specified ID ""%1"" not found.","Comment with specified ID ""%1"" not found."
"Unable to remove comment with ID %1. Error: %2","Unable to remove comment with ID %1. Error: %2"
"Unable to remove comment. Error: %1","Unable to remove comment. Error: %1"
"Unable to save image with ID %1. Error: %2","Unable to save image with ID %1. Error: %2"
"Unable to save new image. Error: %1","Unable to save new image. Error: %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove image with ID %1. Error: %2","Unable to remove image with ID %1. Error: %2"
"Unable to remove image. Error: %1","Unable to remove image. Error: %1"
"Unable to save reminder item with ID %1. Error: %2","Unable to save reminder item with ID %1. Error: %2"
"Unable to save new reminder item. Error: %1","Unable to save new reminder item. Error: %1"
"Reminder item with specified ID ""%1"" not found.","Reminder item with specified ID ""%1"" not found."
"Unable to remove reminder item with ID %1. Error: %2","Unable to remove reminder item with ID %1. Error: %2"
"Unable to remove reminder item. Error: %1","Unable to remove reminder item. Error: %1"
"Unable to save unsubscribe with ID %1. Error: %2","Unable to save unsubscribe with ID %1. Error: %2"
"Unable to save new unsubscribe. Error: %1","Unable to save new unsubscribe. Error: %1"
"Unsubscribe with specified ID ""%1"" not found.","Unsubscribe with specified ID ""%1"" not found."
"Unable to remove unsubscribe with ID %1. Error: %2","Unable to remove unsubscribe with ID %1. Error: %2"
"Unable to remove unsubscribe. Error: %1","Unable to remove unsubscribe. Error: %1"
"Unable to save vote with ID %1. Error: %2","Unable to save vote with ID %1. Error: %2"
"Unable to save new vote. Error: %1","Unable to save new vote. Error: %1"
"Vote with specified ID ""%1"" not found.","Vote with specified ID ""%1"" not found."
"Unable to remove vote with ID %1. Error: %2","Unable to remove vote with ID %1. Error: %2"
"Unable to remove vote. Error: %1","Unable to remove vote. Error: %1"
"%1 (Default)","%1 (Default)"
No,No
"Yes (Instantly)","Yes (Instantly)"
"Yes (Daily)","Yes (Daily)"
Pending,Pending
Approved,Approved
Rejected,Rejected
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"Verified Buyers","Verified Buyers"
Recommended,Recommended
"With images","With images"
"Once per product","Once per product"
"Once per customer","Once per customer"
"Once per order","Once per order"
"Not Logged In","Not Logged In"
Yes,Yes
Date,Date
Rating,Rating
Helpfulness,Helpfulness
"Review Grid Template","Review Grid Template"
"Products Images and Names Template (vert.)","Products Images and Names Template (vert.)"
"Use Default Config","Use Default Config"
