"Affiliate Program","Cộng tác viên"
"Affiliate Program - Register","Đăng ký cộng tác viên"
"Your account","Tài khoản của bạn"
"Aff Personal Information","Thông tin cá nhân"
"Aff Address Information","Địa chỉ liên hệ"
"Your Bank Information","Thông tin tài khoản ngân hàng"
"Your request to be an affiliate of %store_name is approved","Yêu cầu trở thành cộng tác viên của %store_name đã được duyệt"
"Affiliate code: %affiliate_code","Mã cộng tác viên: %affiliate_code"
"Username: %username","Tên tài khoản: %username"
"Active link: %activeLink","Link active tài khoản: %activeLink"
"Aff Fullname","Họ và tên"
"Aff Input Fullname","Nhập họ và tên"
"Aff Phone number","Số điện thoại"
"Aff Input Phone number","Nhập số điện thoại"
"Aff Email","Email"
"Aff Input Email","Nhập email"
"Aff Region","Tỉnh/Thành phố"
"Aff City","Quận/Huyện"
"Aff Input City","Nhập quận/huyện"
"Aff Township","Phường/Xã"
"Aff Input Township","Nhập phường/xã"
"Aff Bank number","Số tài khoản"
"Aff Input Bank number","Nhập số tài khoản"
"Aff Bank Information","Ngân hàng thụ hưởng"
"Aff Input Bank Information","Nhập thông tin ngân hàng"
"Aff Address","Địa chỉ"
"Aff Input Address","Nhập số nhà, đường"
"Aff Please select a region, state or province.","--Chọn tỉnh/thành phố--"
"Aff Please select a city.","--Chọn quận/huyện--"
"Aff Please select a township.","--Chọn phường/xã--"
"Please select a bank information.","--Chọn ngân hàng thụ hưởng--"
"Affiliate Program - Register Success","Đăng ký CTV thành công"
"Affiliate Register Success","Cảm ơn bạn đã đăng ký trở thành cộng tác viên của Cty CP Chợ Trực Tuyến"
"Affiliate Please Waiting In 48hrs","Chúng tôi sẽ xác nhận thông tin và phản hồi kết quả qua email cho bạn trong 48h"
"Click <a href='%active_url'>here</a> to active your account.","Nhấn vào <a href='%active_url'>đây</a> để active tài khoản của bạn."
"Affiliate Register Exists","Bạn đã đăng ký cộng tác viên của chotructuyen.co. Vui lòng quay lại"
"Homepage","trang chủ"
